# Time-averaged data for fix myat1
# TimeStep v_myetotal
10 -386.32
20 -399.024
30 -427.73
40 -467.807
50 -514.908
60 -566.013
70 -619.211
80 -673.353
90 -727.753
100 -782.019
110 -835.934
120 -889.373
130 -942.259
140 -994.55
150 -1046.23
160 -1097.28
170 -1147.7
180 -1197.49
190 -1246.65
200 -1295.19
210 -1343.1
220 -1390.39
230 -1437.06
240 -1483.11
250 -1528.55
260 -1573.38
270 -1617.6
280 -1661.22
290 -1704.23
300 -1746.65
310 -1788.47
320 -1829.71
330 -1870.37
340 -1910.43
350 -1949.93
360 -1988.86
370 -2027.21
380 -2065.01
390 -2102.24
400 -2138.93
410 -2175.07
420 -2210.67
430 -2245.74
440 -2280.27
450 -2314.29
460 -2347.78
470 -2380.75
480 -2413.23
490 -2445.2
500 -2476.68
510 -2507.67
520 -2538.18
530 -2568.22
540 -2597.79
550 -2626.9
560 -2655.56
570 -2683.76
580 -2711.53
590 -2738.86
600 -2765.76
610 -2792.24
620 -2818.31
630 -2843.98
640 -2869.24
650 -2894.12
660 -2918.61
670 -2942.72
680 -2966.45
690 -2989.83
700 -3012.84
710 -3035.51
720 -3057.83
730 -3079.81
740 -3101.48
750 -3122.81
760 -3143.82
770 -3164.52
780 -3184.91
790 -3205.01
800 -3224.82
810 -3244.34
820 -3263.58
830 -3282.54
840 -3301.24
850 -3319.67
860 -3337.84
870 -3355.77
880 -3373.45
890 -3390.88
900 -3408.08
910 -3425.05
920 -3441.79
930 -3458.31
940 -3474.61
950 -3490.69
960 -3506.57
970 -3522.24
980 -3537.71
990 -3552.98
1000 -3568.07
1010 -3582.96
1020 -3597.67
1030 -3612.2
1040 -3626.55
1050 -3640.73
1060 -3654.73
1070 -3668.57
1080 -3682.24
1090 -3695.76
1100 -3709.11
1110 -3722.31
1120 -3735.37
1130 -3748.27
1140 -3761.03
1150 -3773.64
1160 -3786.11
1170 -3798.45
1180 -3810.65
1190 -3822.71
1200 -3834.65
1210 -3846.45
1220 -3858.14
1230 -3869.7
1240 -3881.13
1250 -3892.45
1260 -3903.64
1270 -3914.73
1280 -3925.7
1290 -3936.55
1300 -3947.29
1310 -3957.93
1320 -3968.46
1330 -3978.88
1340 -3989.21
1350 -3999.43
1360 -4009.54
1370 -4019.56
1380 -4029.49
1390 -4039.32
1400 -4049.06
1410 -4058.7
1420 -4068.25
1430 -4077.7
1440 -4087.07
1450 -4096.34
1460 -4105.54
1470 -4114.65
1480 -4123.67
1490 -4132.61
1500 -4141.47
1510 -4150.25
1520 -4158.95
1530 -4167.57
1540 -4176.11
1550 -4184.57
1560 -4192.96
1570 -4201.27
1580 -4209.51
1590 -4217.68
1600 -4225.78
1610 -4233.8
1620 -4241.75
1630 -4249.64
1640 -4257.46
1650 -4265.21
1660 -4272.9
1670 -4280.51
1680 -4288.06
1690 -4295.55
1700 -4302.98
1710 -4310.34
1720 -4317.64
1730 -4324.87
1740 -4332.05
1750 -4339.17
1760 -4346.23
1770 -4353.23
1780 -4360.17
1790 -4367.06
1800 -4373.88
1810 -4380.66
1820 -4387.37
1830 -4394.03
1840 -4400.64
1850 -4407.19
1860 -4413.69
1870 -4420.13
1880 -4426.53
1890 -4432.87
1900 -4439.17
1910 -4445.41
1920 -4451.6
1930 -4457.75
1940 -4463.84
1950 -4469.89
1960 -4475.89
1970 -4481.84
1980 -4487.74
1990 -4493.6
2000 -4499.42
2010 -4505.19
2020 -4510.91
2030 -4516.6
2040 -4522.24
2050 -4527.84
2060 -4533.4
2070 -4538.92
2080 -4544.4
2090 -4549.83
2100 -4555.23
2110 -4560.59
2120 -4565.92
2130 -4571.2
2140 -4576.45
2150 -4581.67
2160 -4586.85
2170 -4591.99
2180 -4597.1
2190 -4602.18
2200 -4607.22
2210 -4612.24
2220 -4617.22
2230 -4622.17
2240 -4627.09
2250 -4631.97
2260 -4636.83
2270 -4641.66
2280 -4646.46
2290 -4651.24
2300 -4655.98
2310 -4660.7
2320 -4665.39
2330 -4670.06
2340 -4674.7
2350 -4679.31
2360 -4683.91
2370 -4688.48
2380 -4693.02
2390 -4697.54
2400 -4702.04
2410 -4706.52
2420 -4710.97
2430 -4715.41
2440 -4719.81
2450 -4724.2
2460 -4728.57
2470 -4732.92
2480 -4737.24
2490 -4741.55
2500 -4745.83
2510 -4750.1
2520 -4754.35
2530 -4758.58
2540 -4762.79
2550 -4766.99
2560 -4771.16
2570 -4775.32
2580 -4779.46
2590 -4783.58
2600 -4787.69
2610 -4791.77
2620 -4795.84
2630 -4799.89
2640 -4803.92
2650 -4807.94
2660 -4811.94
2670 -4815.93
2680 -4819.89
2690 -4823.84
2700 -4827.78
2710 -4831.69
2720 -4835.6
2730 -4839.48
2740 -4843.36
2750 -4847.22
2760 -4851.06
2770 -4854.88
2780 -4858.69
2790 -4862.48
2800 -4866.26
2810 -4870.02
2820 -4873.77
2830 -4877.5
2840 -4881.22
2850 -4884.92
2860 -4888.61
2870 -4892.28
2880 -4895.93
2890 -4899.58
2900 -4903.2
2910 -4906.81
2920 -4910.4
2930 -4913.98
2940 -4917.55
2950 -4921.1
2960 -4924.63
2970 -4928.15
2980 -4931.66
2990 -4935.14
3000 -4938.62
3010 -4942.08
3020 -4945.52
3030 -4948.95
3040 -4952.37
3050 -4955.77
3060 -4959.16
3070 -4962.53
3080 -4965.88
3090 -4969.23
3100 -4972.56
3110 -4975.87
3120 -4979.18
3130 -4982.46
3140 -4985.74
3150 -4989
3160 -4992.25
3170 -4995.48
3180 -4998.71
3190 -5001.91
3200 -5005.1
3210 -5008.28
3220 -5011.45
3230 -5014.61
3240 -5017.75
3250 -5020.87
3260 -5023.99
3270 -5027.09
3280 -5030.18
3290 -5033.26
3300 -5036.32
3310 -5039.38
3320 -5042.41
3330 -5045.44
3340 -5048.45
3350 -5051.46
3360 -5054.46
3370 -5057.44
3380 -5060.41
3390 -5063.36
3400 -5066.31
3410 -5069.24
3420 -5072.16
3430 -5075.08
3440 -5077.98
3450 -5080.87
3460 -5083.75
3470 -5086.62
3480 -5089.47
3490 -5092.32
3500 -5095.15
3510 -5097.98
3520 -5100.79
3530 -5103.6
3540 -5106.4
3550 -5109.18
3560 -5111.95
3570 -5114.72
3580 -5117.48
3590 -5120.24
3600 -5122.98
3610 -5125.7
3620 -5128.42
3630 -5131.13
3640 -5133.83
3650 -5136.52
3660 -5139.2
3670 -5141.87
3680 -5144.54
3690 -5147.19
3700 -5149.84
3710 -5152.48
3720 -5155.11
3730 -5157.73
3740 -5160.33
3750 -5162.93
3760 -5165.52
3770 -5168.11
3780 -5170.69
3790 -5173.25
3800 -5175.81
3810 -5178.36
3820 -5180.9
3830 -5183.44
3840 -5185.96
3850 -5188.47
3860 -5190.98
3870 -5193.48
3880 -5195.97
3890 -5198.45
3900 -5200.93
3910 -5203.4
3920 -5205.86
3930 -5208.31
3940 -5210.76
3950 -5213.19
3960 -5215.62
3970 -5218.04
3980 -5220.45
3990 -5222.85
4000 -5225.25
4010 -5227.64
4020 -5230.02
4030 -5232.39
4040 -5234.75
4050 -5237.11
4060 -5239.46
4070 -5241.8
4080 -5244.14
4090 -5246.46
4100 -5248.78
4110 -5251.09
4120 -5253.4
4130 -5255.7
4140 -5257.99
4150 -5260.27
4160 -5262.55
4170 -5264.81
4180 -5267.07
4190 -5269.33
4200 -5271.57
4210 -5273.82
4220 -5276.05
4230 -5278.28
4240 -5280.49
4250 -5282.71
4260 -5284.91
4270 -5287.11
4280 -5289.3
4290 -5291.49
4300 -5293.67
4310 -5295.84
4320 -5298.01
4330 -5300.17
4340 -5302.32
4350 -5304.47
4360 -5306.61
4370 -5308.74
4380 -5310.87
4390 -5312.99
4400 -5315.11
4410 -5317.22
4420 -5319.32
4430 -5321.42
4440 -5323.5
4450 -5325.59
4460 -5327.67
4470 -5329.74
4480 -5331.8
4490 -5333.86
4500 -5335.92
4510 -5337.97
4520 -5340.02
4530 -5342.06
4540 -5344.09
4550 -5346.12
4560 -5348.14
4570 -5350.16
4580 -5352.18
4590 -5354.18
4600 -5356.18
4610 -5358.18
4620 -5360.17
4630 -5362.16
4640 -5364.14
4650 -5366.11
4660 -5368.08
4670 -5370.05
4680 -5372.01
4690 -5373.97
4700 -5375.92
4710 -5377.86
4720 -5379.81
4730 -5381.74
4740 -5383.67
4750 -5385.6
4760 -5387.52
4770 -5389.44
4780 -5391.35
4790 -5393.26
4800 -5395.16
4810 -5397.06
4820 -5398.95
4830 -5400.84
4840 -5402.73
4850 -5404.61
4860 -5406.48
4870 -5408.35
4880 -5410.22
4890 -5412.08
4900 -5413.94
4910 -5415.79
4920 -5417.64
4930 -5419.48
4940 -5421.32
4950 -5423.15
4960 -5424.98
4970 -5426.81
4980 -5428.63
4990 -5430.44
5000 -5432.25
