# Time-averaged data for fix myat2
# TimeStep v_myke
10 6.35503
20 21.8902
30 34.608
40 42.9026
50 47.8062
60 50.4914
70 51.8162
80 52.3332
90 52.3793
100 52.154
110 51.7738
120 51.306
130 50.7893
140 50.2459
150 49.6885
160 49.1244
170 48.5576
180 47.9904
190 47.4242
200 46.8598
210 46.2976
220 45.7379
230 45.1808
240 44.6265
250 44.0751
260 43.5267
270 42.9815
280 42.4394
290 41.9007
300 41.3654
310 40.8336
320 40.3055
330 39.7811
340 39.2606
350 38.7442
360 38.2319
370 37.7239
380 37.2204
390 36.7213
400 36.2269
410 35.7373
420 35.2526
430 34.7729
440 34.2983
450 33.829
460 33.3649
470 32.9063
480 32.4532
490 32.0057
500 31.5639
510 31.1279
520 30.6977
530 30.2733
540 29.855
550 29.4427
560 29.0365
570 28.6364
580 28.2425
590 27.8548
600 27.4734
610 27.0982
620 26.7292
630 26.3666
640 26.0103
650 25.6602
660 25.3164
670 24.9789
680 24.6475
690 24.3224
700 24.0034
710 23.6905
720 23.3836
730 23.0828
740 22.788
750 22.499
760 22.2158
770 21.9383
780 21.6665
790 21.4002
800 21.1395
810 20.8842
820 20.6341
830 20.3893
840 20.1496
850 19.9149
860 19.6852
870 19.4602
880 19.2399
890 19.0243
900 18.8131
910 18.6064
920 18.4039
930 18.2057
940 18.0115
950 17.8214
960 17.6351
970 17.4527
980 17.274
990 17.0989
1000 16.9274
1010 16.7594
1020 16.5947
1030 16.4333
1040 16.275
1050 16.1199
1060 15.9678
1070 15.8188
1080 15.6726
1090 15.5292
1100 15.3886
1110 15.2507
1120 15.1154
1130 14.9827
1140 14.8524
1150 14.7246
1160 14.5991
1170 14.4759
1180 14.3549
1190 14.2361
1200 14.1194
1210 14.0048
1220 13.8921
1230 13.7814
1240 13.6726
1250 13.5656
1260 13.4605
1270 13.357
1280 13.2553
1290 13.1552
1300 13.0568
1310 12.9599
1320 12.8645
1330 12.7706
1340 12.6782
1350 12.5871
1360 12.4975
1370 12.4092
1380 12.3222
1390 12.2365
1400 12.152
1410 12.0687
1420 11.9866
1430 11.9057
1440 11.826
1450 11.7474
1460 11.6698
1470 11.5933
1480 11.5179
1490 11.4436
1500 11.3702
1510 11.2978
1520 11.2265
1530 11.156
1540 11.0865
1550 11.0179
1560 10.9502
1570 10.8834
1580 10.8175
1590 10.7524
1600 10.6881
1610 10.6246
1620 10.5619
1630 10.5
1640 10.4389
1650 10.3785
1660 10.3188
1670 10.2598
1680 10.2015
1690 10.144
1700 10.087
1710 10.0308
1720 9.97516
1730 9.92017
1740 9.86581
1750 9.81204
1760 9.75886
1770 9.70627
1780 9.65426
1790 9.60282
1800 9.55194
1810 9.50162
1820 9.45184
1830 9.4026
1840 9.35389
1850 9.30571
1860 9.25806
1870 9.21095
1880 9.16437
1890 9.11832
1900 9.07279
1910 9.02778
1920 8.98331
1930 8.93937
1940 8.89596
1950 8.85307
1960 8.81071
1970 8.76888
1980 8.7276
1990 8.68685
2000 8.64664
2010 8.60698
2020 8.56787
2030 8.52931
2040 8.49129
2050 8.45381
2060 8.41689
2070 8.3805
2080 8.34468
2090 8.3094
2100 8.27467
2110 8.2405
2120 8.20687
2130 8.17378
2140 8.14124
2150 8.10924
2160 8.07779
2170 8.04687
2180 8.01647
2190 7.9866
2200 7.95725
2210 7.92843
2220 7.90012
2230 7.87231
2240 7.84501
2250 7.81819
2260 7.79186
2270 7.766
2280 7.74062
2290 7.7157
2300 7.69123
2310 7.66721
2320 7.64362
2330 7.62046
2340 7.59771
2350 7.57536
2360 7.55341
2370 7.53184
2380 7.51064
2390 7.4898
2400 7.46931
2410 7.44915
2420 7.42932
2430 7.40981
2440 7.3906
2450 7.3717
2460 7.35307
2470 7.33471
2480 7.31662
2490 7.29879
2500 7.2812
2510 7.26383
2520 7.24669
2530 7.22976
2540 7.21303
2550 7.19649
2560 7.18015
2570 7.16398
2580 7.14797
2590 7.13212
2600 7.11641
2610 7.10084
2620 7.08541
2630 7.07011
2640 7.05492
2650 7.03985
2660 7.02489
2670 7.01002
2680 6.99525
2690 6.98056
2700 6.96596
2710 6.95144
2720 6.93698
2730 6.9226
2740 6.90828
2750 6.89402
2760 6.87983
2770 6.86569
2780 6.8516
2790 6.83754
2800 6.82353
2810 6.80956
2820 6.79563
2830 6.78174
2840 6.76788
2850 6.75406
2860 6.74027
2870 6.72652
2880 6.7128
2890 6.69911
2900 6.68545
2910 6.67182
2920 6.65824
2930 6.64468
2940 6.63116
2950 6.61767
2960 6.60422
2970 6.59082
2980 6.57745
2990 6.56412
3000 6.55085
3010 6.53762
3020 6.52443
3030 6.5113
3040 6.49823
3050 6.48521
3060 6.47224
3070 6.45934
3080 6.4465
3090 6.43372
3100 6.421
3110 6.40836
3120 6.39579
3130 6.3833
3140 6.37088
3150 6.35853
3160 6.34626
3170 6.33406
3180 6.32194
3190 6.3099
3200 6.29795
3210 6.28607
3220 6.27427
3230 6.26257
3240 6.25096
3250 6.23943
3260 6.22798
3270 6.21663
3280 6.20535
3290 6.19417
3300 6.18308
3310 6.17207
3320 6.16115
3330 6.15032
3340 6.13958
3350 6.12894
3360 6.11838
3370 6.10791
3380 6.09753
3390 6.08723
3400 6.07703
3410 6.06691
3420 6.05688
3430 6.04693
3440 6.03707
3450 6.02729
3460 6.0176
3470 6.00799
3480 5.99847
3490 5.98903
3500 5.97967
3510 5.97039
3520 5.96119
3530 5.95206
3540 5.943
3550 5.93402
3560 5.92512
3570 5.91629
3580 5.90753
3590 5.89884
3600 5.89022
3610 5.88167
3620 5.87317
3630 5.86474
3640 5.85637
3650 5.84806
3660 5.8398
3670 5.8316
3680 5.82346
3690 5.81537
3700 5.80734
3710 5.79935
3720 5.79141
3730 5.78353
3740 5.77568
3750 5.76788
3760 5.76012
3770 5.7524
3780 5.74471
3790 5.73707
3800 5.72946
3810 5.72189
3820 5.71435
3830 5.70685
3840 5.69939
3850 5.69194
3860 5.68453
3870 5.67716
3880 5.6698
3890 5.66248
3900 5.65518
3910 5.64791
3920 5.64066
3930 5.63345
3940 5.62626
3950 5.6191
3960 5.61196
3970 5.60485
3980 5.59777
3990 5.59071
4000 5.58369
4010 5.57669
4020 5.56972
4030 5.56278
4040 5.55586
4050 5.54898
4060 5.54213
4070 5.5353
4080 5.52852
4090 5.52176
4100 5.51504
4110 5.50835
4120 5.5017
4130 5.49508
4140 5.48851
4150 5.48197
4160 5.47547
4170 5.469
4180 5.46258
4190 5.4562
4200 5.44987
4210 5.44357
4220 5.43731
4230 5.4311
4240 5.42492
4250 5.41879
4260 5.4127
4270 5.40665
4280 5.40064
4290 5.39468
4300 5.38875
4310 5.38287
4320 5.37703
4330 5.37124
4340 5.36548
4350 5.35977
4360 5.3541
4370 5.34847
4380 5.34289
4390 5.33735
4400 5.33185
4410 5.32639
4420 5.32097
4430 5.31558
4440 5.31024
4450 5.30494
4460 5.29967
4470 5.29444
4480 5.28925
4490 5.2841
4500 5.27899
4510 5.27391
4520 5.26887
4530 5.26387
4540 5.25891
4550 5.25397
4560 5.24907
4570 5.2442
4580 5.23937
4590 5.23457
4600 5.2298
4610 5.22507
4620 5.22036
4630 5.21568
4640 5.21104
4650 5.20643
4660 5.20185
4670 5.1973
4680 5.19279
4690 5.1883
4700 5.18384
4710 5.1794
4720 5.175
4730 5.17062
4740 5.16627
4750 5.16194
4760 5.15763
4770 5.15335
4780 5.1491
4790 5.14487
4800 5.14066
4810 5.13648
4820 5.13232
4830 5.12819
4840 5.12407
4850 5.11998
4860 5.1159
4870 5.11185
4880 5.10782
4890 5.1038
4900 5.0998
4910 5.09582
4920 5.09185
4930 5.0879
4940 5.08396
4950 5.08005
4960 5.07614
4970 5.07225
4980 5.06837
4990 5.0645
5000 5.06064
